Rating,EmployerName,Location,Salary,Hiring,Days,URL
3.8,Magnetar Capital,"Evanston, IL",$105K-$140K (Glassdoor est.),Actively Hiring,15d,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=960593&s=58&guid=0000017357a822db92010bcbd9b15638&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&slr=true&cs=1_3507649c&cb=1594903504054&jobListingId=3523153709
4.6,SEI,"Chicago, IL",$86K-$132K (Glassdoor est.),Actively Hiring,1d,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1031882&s=58&guid=0000017357a822db92010bcbd9b15638&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&slr=true&cs=1_6d0794dd&cb=1594903504054&jobListingId=1518289774
4.3,Strike Social,"Chicago, IL",$91K-$93K (Glassdoor est.),Hot,13d,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=4341&s=58&guid=0000017357a822db92010bcbd9b15638&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&slr=true&ea=1&cs=1_334e1e20&cb=1594903504054&jobListingId=3365535664
3.1,Akuna Capital,"Chicago, IL",$140K-$277K (Glassdoor est.),Hiring Surge,14d,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=953517&s=58&guid=0000017357a822db92010bcbd9b15638&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&slr=true&cs=1_3e818b7d&cb=1594903504054&jobListingId=3613980687
3.1,Fellowship.AI,"Chicago, IL",N/A,N/A,30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=804595&s=58&guid=0000017357a822db92010bcbd9b15638&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&slr=true&cs=1_8e396ed4&cb=1594903504054&jobListingId=3619024925
3.8,Citadel,"Chicago, IL",$114K-$163K (Glassdoor est.),Actively Hiring,24h,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=176144&s=58&guid=0000017357a822db92010bcbd9b15638&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&slr=true&cs=1_aaeac03d&cb=1594903504054&jobListingId=3626141794
3.7,"ServiceNow, Inc.","Chicago, IL",$105K-$180K (Glassdoor est.),Hiring Surge,24h,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=400784&s=58&guid=0000017357a822db92010bcbd9b15638&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&slr=true&cs=1_67c18144&cb=1594903504054&jobListingId=3626467047
4.0,BrandBastion,"Chicago, IL",N/A,Hot,21d,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=112994&s=58&guid=0000017357a822db92010bcbd9b15638&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&slr=true&ea=1&cs=1_2dda9cba&cb=1594903504054&jobListingId=3608438596
N/A,TalentCraft,"Chicago, IL",N/A,N/A,8d,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=804595&s=58&guid=0000017357a822db92010bcbd9b15638&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&slr=true&cs=1_e4b5cf42&cb=1594903504054&jobListingId=3619055416
4.2,360pi,"Chicago, IL",N/A,N/A,30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=961248&s=58&guid=0000017357a822db92010bcbd9b15638&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&slr=true&cs=1_81fed442&cb=1594903504054&jobListingId=3617980581
N/A,Hale Testing Solutions,"Chicago, IL",N/A,N/A,30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=389273&s=58&guid=0000017357a822db92010bcbd9b15638&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&slr=true&ea=1&cs=1_9e83ecca&cb=1594903504054&jobListingId=3594666542
2.7,STATS PERFORM,"Chicago, IL",N/A,N/A,9d,https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=961248&s=58&guid=0000017357a822db92010bcbd9b15638&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&slr=true&cs=1_d7f49305&cb=1594903504054&jobListingId=3618126299
3.2,Tempus Labs,"Chicago, IL",$31K-$56K (Glassdoor est.),N/A,16d,https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=8095&s=58&guid=0000017357a822db92010bcbd9b15638&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&slr=true&ea=1&cs=1_c81d7a2b&cb=1594903504054&jobListingId=3253598163
3.9,Numerator,"Chicago, IL",$63K-$112K (Glassdoor est.),Hiring Surge,19d,https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=417099&s=58&guid=0000017357a822db92010bcbd9b15638&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&slr=true&cs=1_25c8bba2&cb=1594903504054&jobListingId=3567381270
3.3,Tempus,"Chicago, IL",$42K-$76K (Glassdoor est.),N/A,25d,https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=961248&s=58&guid=0000017357a822db92010bcbd9b15638&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&slr=true&cs=1_cb165b1c&cb=1594903504054&jobListingId=3617750233
4.9,Pariveda Solutions,"Chicago, IL",$62K-$116K (Glassdoor est.),Top Company,13d,https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=950001&s=58&guid=0000017357a822db92010bcbd9b15638&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&slr=true&cs=1_45a2f6e8&cb=1594903504054&jobListingId=3615135882
3.9,Amazon,"Chicago, IL",$83K-$134K (Glassdoor est.),N/A,7d,https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=133043&s=58&guid=0000017357a822db92010bcbd9b15638&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&slr=true&cs=1_e8b7203d&cb=1594903504054&jobListingId=3471307440
3.8,Citadel,"Chicago, IL",$79K-$123K (Glassdoor est.),N/A,6d,https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=708312&s=58&guid=0000017357a822db92010bcbd9b15638&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&slr=true&cs=1_e2e45a85&cb=1594903504054&jobListingId=3403007620
3.8,Citadel,"Chicago, IL",$96K-$110K (Glassdoor est.),N/A,11d,https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=176144&s=58&guid=0000017357a822db92010bcbd9b15638&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&slr=true&cs=1_c2da492d&cb=1594903504055&jobListingId=3467536781
4.9,Fetch Rewards,"Chicago, IL",N/A,Hot,16d,https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=8095&s=58&guid=0000017357a822db92010bcbd9b15638&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&slr=true&cs=1_4360456d&cb=1594903504055&jobListingId=3611483302
4.7,Axiom Group,"Chicago, IL",$122K-$178K (Glassdoor est.),N/A,20d,https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=215203&s=58&guid=0000017357a822db92010bcbd9b15638&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&slr=true&cs=1_0f523365&cb=1594903504055&jobListingId=3416700480
4.2,bioMérieux,"Chicago, IL",$75K-$124K (Glassdoor est.),Hiring Surge,24h,https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=1047474&s=58&guid=0000017357a822db92010bcbd9b15638&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&slr=true&cs=1_c0b3497c&cb=1594903504055&jobListingId=3560225083
3.4,Wi-Tronix,"Bolingbrook, IL",$70K-$123K (Glassdoor est.),New,1d,https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=4008&s=58&guid=0000017357a822db92010bcbd9b15638&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&slr=true&cs=1_4357bab6&cb=1594903504055&jobListingId=3579466495
3.2,Tempus Labs,"Chicago, IL",$117K-$149K (Glassdoor est.),N/A,16d,https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=8095&s=58&guid=0000017357a822db92010bcbd9b15638&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&slr=true&ea=1&cs=1_44faefe0&cb=1594903504055&jobListingId=3253598157
5.0,Centric Consulting,"Chicago, IL",$60K-$105K (Glassdoor est.),Hiring Surge,19d,https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=134936&s=58&guid=0000017357a822db92010bcbd9b15638&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&slr=true&cs=1_a8c27ea3&cb=1594903504055&jobListingId=3566829905
3.4,Avant,"Chicago, IL",$41K-$87K (Glassdoor est.),N/A,6d,https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=1041937&s=58&guid=0000017357a822db92010bcbd9b15638&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&slr=true&cs=1_7d834d23&cb=1594903504055&jobListingId=3621082783
4.0,University of Chicago,"Chicago, IL",N/A,N/A,1d,https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=242900&s=58&guid=0000017357a822db92010bcbd9b15638&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&slr=true&cs=1_5e3c2d61&cb=1594903504055&jobListingId=3503151298
4.3,Green Key Technologies ,"Chicago, IL",$82K-$107K (Glassdoor est.),N/A,6d,https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=4120&s=58&guid=0000017357a822db92010bcbd9b15638&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&slr=true&ea=1&cs=1_4350ad94&cb=1594903504055&jobListingId=3319321892
3.4,Avant,"Chicago, IL",$47K-$105K (Glassdoor est.),New,24h,https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=1047430&s=58&guid=0000017357a822db92010bcbd9b15638&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&slr=true&cs=1_9866251b&cb=1594903504055&jobListingId=3625275352
